Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Hedron Crab,19,20,6,U,1.0,Creature,0.46153846153846156,0.48717948717948717,0.9707686411987329
Young Pyromancer,28,29,9,R,2.0,Creature,0.5294117647058824,0.49122807017543857,0.9706862747462541
"Boseiju, Who Endures",35,42,11,G,0.0,Land,0.8461538461538461,0.45454545454545453,0.9666614738221108
"Nissa, Who Shakes the World",22,27,7,G,5.0,Planeswalker,0.7,0.4489795918367347,0.9647457064835094
Consider,36,39,11,U,1.0,Instant,0.7857142857142857,0.48,0.9636599404272901
Tenacious Underdog,26,31,8,B,2.0,Creature,0.5333333333333333,0.45614035087719296,0.9634342867972124
Dread Return,30,39,10,B,4.0,Sorcery,0.7142857142857143,0.43478260869565216,0.9620082393086299
Noble Hierarch,35,47,12,GUW,1.0,Creature,0.9230769230769231,0.4268292682926829,0.9616124354376385
Indatha Triome,36,37,10,BGW,0.0,Land,0.7142857142857143,0.4931506849315068,0.9610460511411432
Temple Garden,35,39,10,GW,0.0,Land,0.8333333333333334,0.47297297297297297,0.9582639733692839
Bitter Triumph,38,47,12,B,2.0,Instant,1.0,0.4470588235294118,0.956986226526566
Selfless Spirit,48,44,13,W,2.0,Creature,0.9285714285714286,0.5217391304347826,0.9565495028615415
Smirking Spelljacker,23,21,6,U,5.0,Creature,0.6666666666666666,0.5227272727272727,0.956244259706412
Polluted Delta,45,50,14,,0.0,Land,1.0,0.47368421052631576,0.9562256492558662
Arcane Denial,42,49,13,U,2.0,Instant,0.7647058823529411,0.46153846153846156,0.9551805432514892
Inspiring Overseer,32,26,8,W,3.0,Creature,0.6666666666666666,0.5517241379310345,0.9550736245588111
Spyglass Siren,39,39,11,U,1.0,Creature,0.6875,0.5,0.9540042874623794
"Rankle, Master of Pranks",40,44,11,B,4.0,Creature,0.8461538461538461,0.47619047619047616,0.953866376981679
"Valakut, the Molten Pinnacle",20,25,6,R,0.0,Land,0.4,0.4444444444444444,0.9535739709636494
Living Death,28,37,9,B,5.0,Sorcery,0.6923076923076923,0.4307692307692308,0.9521315141381761
Victimize,30,38,10,B,3.0,Sorcery,0.7692307692307693,0.4411764705882353,0.9520412072455654
Windfall,22,29,8,U,3.0,Sorcery,0.5714285714285714,0.43137254901960786,0.9519170715529527
Esper Sentinel,38,35,11,W,1.0,Creature,0.8461538461538461,0.5205479452054794,0.9511516701934307
Elite Spellbinder,36,35,10,W,3.0,Creature,0.625,0.5070422535211268,0.9501618179324781
Counterspell,36,40,11,U,2.0,Instant,0.7333333333333333,0.47368421052631576,0.9496763366517258
Incubation Druid,22,29,7,G,2.0,Creature,1.0,0.43137254901960786,0.9488396594788626
Fear of Missing Out,25,23,7,R,2.0,Creature,1.0,0.5208333333333334,0.9487411495038675
"Eiganjo, Seat of the Empire",47,45,12,W,0.0,Land,0.8571428571428571,0.5108695652173914,0.9484126723697325
Serum Visions,19,20,6,U,1.0,Sorcery,0.5454545454545454,0.48717948717948717,0.9479512899651786
Deep Analysis,26,32,8,U,4.0,Sorcery,0.6153846153846154,0.4482758620689655,0.9460384634861668
Fiery Islet,29,36,10,RU,0.0,Land,0.625,0.4461538461538462,0.9441096104846455
Brain Maggot,42,44,12,B,2.0,Creature,0.8571428571428571,0.4883720930232558,0.9419365887266187
Smuggler's Copter,43,50,13,,2.0,Artifact,1.0,0.46236559139784944,0.9407800087689949
Shelldock Isle,54,56,16,U,0.0,Land,0.9411764705882353,0.4909090909090909,0.9404390210920469
Abrade,48,51,14,R,2.0,Instant,0.9333333333333333,0.48484848484848486,0.938667003334254
Get Lost,48,52,14,W,2.0,Instant,0.875,0.48,0.9379735074874359
Scavenged Brawler,26,34,9,,6.0,Creature,0.6428571428571429,0.43333333333333335,0.9359076477596405
Restless Vinestalk,18,21,6,GU,0.0,Land,0.375,0.46153846153846156,0.935468162376865
Questing Beast,30,33,8,G,4.0,Creature,0.8,0.47619047619047616,0.9345284336522991
Unearth,21,28,7,B,1.0,Sorcery,0.5833333333333334,0.42857142857142855,0.9332940583909619
Bronzebeak Foragers,29,29,8,W,4.0,Creature,0.6153846153846154,0.5,0.9326055688555345
Sharp-Eyed Rookie,30,36,9,G,2.0,Creature,0.75,0.45454545454545453,0.9323775421175652
Three Steps Ahead,25,27,8,U,1.0,Instant,0.8,0.4807692307692308,0.9323217373775246
