Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Vendilion Clique,32,27,8,U,3.0,Creature,0.6666666666666666,0.5423728813559322,1.0057707562451224
Voldaren Thrillseeker,22,19,6,R,3.0,Creature,0.6666666666666666,0.5365853658536586,1.02111371964227
Thoughtseize,32,25,8,B,1.0,Sorcery,0.6666666666666666,0.5614035087719298,1.0703725027407192
Incinerate,22,20,6,R,2.0,Instant,0.6666666666666666,0.5238095238095238,1.116619298842865
Recruitment Officer,30,21,8,W,1.0,Creature,0.6666666666666666,0.5882352941176471,1.051487154996627
Feed the Swarm,19,24,6,B,2.0,Sorcery,0.6666666666666666,0.4418604651162791,0.983940781245545
Robber of the Rich,41,38,10,R,2.0,Creature,0.6666666666666666,0.5189873417721519,1.039659955696931
Inspiring Overseer,32,26,8,W,3.0,Creature,0.6666666666666666,0.5517241379310345,0.9550736245588111
Eradicator Valkyrie,19,24,6,B,4.0,Creature,0.6666666666666666,0.4418604651162791,0.8570537881065136
Chrome Host Seedshark,32,33,10,U,3.0,Creature,0.6666666666666666,0.49230769230769234,0.9777423227010157
Commercial District,38,33,10,GR,0.0,Land,0.6666666666666666,0.5352112676056338,1.0990241604489557
Kolaghan's Command,42,39,11,BR,3.0,Instant,0.6470588235294118,0.5185185185185185,1.0481244541754575
"Mikaeus, the Lunarch",33,48,11,W,1.0,Creature,0.6470588235294118,0.4074074074074074,0.8322920185774273
Scavenged Brawler,26,34,9,,6.0,Creature,0.6428571428571429,0.43333333333333335,0.9359076477596405
Meticulous Archive,36,29,9,UW,0.0,Land,0.6428571428571429,0.5538461538461539,1.0421071988033486
Plaguecrafter,26,34,9,B,3.0,Creature,0.6428571428571429,0.43333333333333335,0.8266332668221654
Torrential Gearhulk,29,32,9,U,6.0,Creature,0.6428571428571429,0.47540983606557374,0.9196353464215906
Isolated Chapel,42,26,9,BW,0.0,Land,0.6428571428571429,0.6176470588235294,1.1970487593422858
